assigned_gid,video,frame,local_track_id,compared_to_gid,cosine_sim,hist_sim,iou
0,Video_1.mp4,75,1,2,0.5255574,0.3219288453184278,0
1,Video_1.mp4,75,2,1,0.8202762,0.9878222361286069,0
1,Video_1.mp4,75,2,2,0.65369946,0.7562795777559319,0
2,Video_1.mp4,75,3,2,0.97514105,0.9925685386033747,0
0,Video_1.mp4,76,1,0,0.94760835,0.9913591751991869,0
0,Video_1.mp4,76,1,1,0.5614685,0.4989963786657664,0
0,Video_1.mp4,76,1,2,0.5186867,0.3196810767463242,0
1,Video_1.mp4,76,2,1,0.8282049,0.9906452143243347,0
1,Video_1.mp4,76,2,2,0.6529307,0.7406864119901132,0
0,Video_1.mp4,77,1,0,0.95129097,0.9887592620925019,0
0,Video_1.mp4,77,1,1,0.56008995,0.4842595925811452,0
0,Video_1.mp4,77,1,2,0.5135673,0.32102574972405007,0
1,Video_1.mp4,77,2,1,0.8356656,0.9844436650380022,0
1,Video_1.mp4,77,2,2,0.6529307,0.7023995834518907,0
0,Video_1.mp4,78,1,0,0.9483,0.9835630039857792,0
0,Video_1.mp4,78,1,1,0.5590841,0.505009327731049,0
0,Video_1.mp4,78,1,2,0.5169107,0.32263791614096593,0
1,Video_1.mp4,78,2,1,0.8039508,0.9098171262267494,0
1,Video_1.mp4,78,2,2,0.6811866,0.6324414962549918,0
0,Video_1.mp4,79,1,0,0.94368815,0.9854934312565814,0
0,Video_1.mp4,79,1,1,0.581833,0.48715430261657966,0
0,Video_1.mp4,79,1,2,0.53591996,0.32037465351443456,0
1,Video_1.mp4,79,2,1,0.81142616,0.9814586710898087,0
1,Video_1.mp4,79,2,2,0.6811866,0.6252403483538012,0
0,Video_1.mp4,80,1,0,0.9367321,0.9870579613898122,0
0,Video_1.mp4,80,1,1,0.57352936,0.48406699820902993,0
0,Video_1.mp4,80,1,2,0.517502,0.31912276402823464,0
1,Video_1.mp4,80,2,1,0.7825092,0.9805643052117403,0
1,Video_1.mp4,80,2,2,0.63789743,0.6268249568060509,0
0,Video_1.mp4,81,1,0,0.9411825,0.9885262524526693,0
0,Video_1.mp4,81,1,1,0.5641022,0.46862146299300517,0
0,Video_1.mp4,81,1,2,0.5133225,0.3228403185820135,0
1,Video_1.mp4,81,2,1,0.78760695,0.9804562983733884,0
1,Video_1.mp4,81,2,2,0.64918905,0.6184209745403465,0
0,Video_1.mp4,82,1,0,0.94451594,0.9779500367721393,0
0,Video_1.mp4,82,1,1,0.56101906,0.4863268067478561,0
0,Video_1.mp4,82,1,2,0.50102985,0.3283502704846728,0
1,Video_1.mp4,82,2,1,0.7949984,0.9745301656488881,0
1,Video_1.mp4,82,2,2,0.64918905,0.6217120045631688,0
0,Video_1.mp4,83,1,0,0.9405256,0.9805818967842982,0
0,Video_1.mp4,83,1,1,0.5863583,0.4828222721479432,0
0,Video_1.mp4,83,1,2,0.5335373,0.32863267552628844,0
1,Video_1.mp4,83,2,1,0.77293956,0.9807811550573712,0
1,Video_1.mp4,83,2,2,0.6403724,0.6637373565448752,0
0,Video_1.mp4,84,1,0,0.9422698,0.9826450400546464,0
0,Video_1.mp4,84,1,1,0.5979071,0.4914944128316621,0
0,Video_1.mp4,84,1,2,0.5327927,0.3348529833463432,0
1,Video_1.mp4,84,2,1,0.80068815,0.9891026602198127,0
1,Video_1.mp4,84,2,2,0.6520011,0.6651821598889247,0
0,Video_1.mp4,85,1,0,0.93094397,0.9802033847909871,0
0,Video_1.mp4,85,1,1,0.5965514,0.4793315032029067,0
0,Video_1.mp4,85,1,2,0.53559375,0.34709782491340413,0
1,Video_1.mp4,85,2,1,0.7833629,0.983094280898096,0
1,Video_1.mp4,85,2,2,0.65117717,0.6915559962607761,0
0,Video_1.mp4,86,1,0,0.9263811,0.9609591470232923,0
0,Video_1.mp4,86,1,1,0.5768097,0.4666990708235365,0
0,Video_1.mp4,86,1,2,0.5091703,0.33142602360934414,0
1,Video_1.mp4,86,2,1,0.84731615,0.979170319424023,0
1,Video_1.mp4,86,2,2,0.6874908,0.68668305839177,0
0,Video_1.mp4,87,1,0,0.918405,0.9691357069790072,0
0,Video_1.mp4,87,1,1,0.58563304,0.4635051302412556,0
0,Video_1.mp4,87,1,2,0.5161363,0.32899108228722473,0
1,Video_1.mp4,87,2,1,0.8332472,0.987058974063416,0
1,Video_1.mp4,87,2,2,0.66601515,0.6812371111233773,0
0,Video_1.mp4,88,1,0,0.91915447,0.9682629582627238,0
0,Video_1.mp4,88,1,1,0.60990465,0.4270626915345763,0
0,Video_1.mp4,88,1,2,0.5391557,0.3223563962156091,0
1,Video_1.mp4,88,2,1,0.82550156,0.9915265033593217,0
1,Video_1.mp4,88,2,2,0.6752494,0.6959550837025896,0
0,Video_1.mp4,89,1,0,0.9089842,0.9680788884772318,0
0,Video_1.mp4,89,1,1,0.60715646,0.43513345717648944,0
0,Video_1.mp4,89,1,2,0.52855295,0.3422987958591503,0
1,Video_1.mp4,89,2,1,0.82150185,0.9876972502757498,0
1,Video_1.mp4,89,2,2,0.6596778,0.7141557217994638,0
0,Video_1.mp4,90,1,0,0.92112756,0.974760539819381,0
0,Video_1.mp4,90,1,1,0.6046076,0.404454059781895,0
0,Video_1.mp4,90,1,2,0.5183815,0.33330288637608546,0
1,Video_1.mp4,90,2,1,0.801082,0.991850863643861,0
1,Video_1.mp4,90,2,2,0.62514555,0.715283306650345,0
0,Video_1.mp4,91,1,0,0.91342866,0.969952617635235,0
0,Video_1.mp4,91,1,1,0.60514283,0.39960878855181153,0
0,Video_1.mp4,91,1,2,0.5219443,0.3178312850237539,0
1,Video_1.mp4,91,2,1,0.81597066,0.9906632260555946,0
1,Video_1.mp4,91,2,2,0.64150625,0.727621675539756,0
0,Video_1.mp4,92,1,0,0.917024,0.9681065535865995,0
0,Video_1.mp4,92,1,1,0.6075702,0.40069575637082844,0
